Employee_ID,Last_Working_Date,Reason_For_Leaving
37549,25-08-2025,Unknown
29197,28-05-2024,Unknown
10260,29-11-2018,Personal Reasons
4533,18-07-2021,Personal Reasons
40281,20-11-2023,Unknown
46212,08-11-2024,Relocation
47384,06-03-2021,Retirement
34619,13-06-2023,Relocation
28796,12-06-2019,Unknown
6672,16-10-2023,Better Opportunity
14476,10-08-2025,Relocation
24366,16-02-2023,Unknown
29439,21-08-2024,Relocation
48723,07-07-2021,Unknown
36437,27-03-2024,Personal Reasons
44190,14-11-2022,Better Opportunity
40667,15-01-2021,Relocation
20671,02-09-2025,Relocation
33073,22-08-2021,Better Opportunity
30246,15-04-2023,Relocation
43585,04-08-2022,Relocation
44923,24-10-2022,Better Opportunity
24193,09-10-2019,Retirement
19364,20-03-2025,Better Opportunity
48844,29-10-2017,Unknown
49594,09-11-2021,Retirement
2062,14-09-2024,Unknown
9024,13-07-2018,Unknown
46388,04-04-2021,Relocation
45553,11-05-2024,Retirement
42977,18-06-2025,Unknown
8227,17-03-2023,Retirement
39129,10-10-2025,Personal Reasons
24767,09-10-2025,Relocation
35290,25-09-2025,Better Opportunity
36662,06-10-2023,Personal Reasons
2179,29-03-2021,Better Opportunity
48372,21-03-2022,Better Opportunity
10724,20-04-2025,Retirement
27385,07-09-2016,Better Opportunity
41744,12-05-2023,Better Opportunity
27735,13-10-2023,Better Opportunity
32804,04-01-2020,Personal Reasons
34853,29-01-2025,Unknown
43665,19-05-2022,Better Opportunity
19014,16-12-2018,Retirement
19498,06-04-2024,Retirement
4483,07-07-2025,Relocation
46490,21-01-2025,Unknown
9067,02-04-2024,Retirement
12039,06-07-2021,Better Opportunity
48872,18-06-2025,Relocation
36912,08-05-2023,Personal Reasons
38758,08-04-2024,Retirement
34026,05-09-2022,Relocation
16311,30-06-2020,Better Opportunity
43710,22-11-2020,Unknown
34896,11-02-2024,Relocation
38794,08-09-2024,Unknown
6733,26-03-2025,Personal Reasons
30372,22-12-2021,Relocation
7651,17-12-2024,Unknown
17248,19-05-2023,Unknown
40203,08-04-2020,Relocation
22989,08-08-2025,Personal Reasons
40348,04-05-2025,Relocation
12481,14-05-2025,Unknown
49135,01-03-2024,Better Opportunity
27950,19-03-2021,Better Opportunity
6938,28-03-2024,Unknown
40294,21-01-2025,Better Opportunity
37383,01-02-2024,Unknown
22110,23-07-2025,Unknown
2389,11-05-2025,Personal Reasons
29509,14-06-2019,Relocation
20091,27-07-2020,Unknown
3086,21-09-2017,Unknown
23332,06-05-2025,Personal Reasons
37499,01-04-2024,Personal Reasons
35408,30-01-2025,Better Opportunity
45771,29-01-2018,Personal Reasons
47920,15-04-2020,Better Opportunity
37005,16-09-2025,Relocation
42096,27-09-2021,Relocation
145,01-12-2024,Personal Reasons
36568,25-12-2024,Better Opportunity
17303,14-01-2025,Retirement
37297,02-10-2025,Retirement
36616,01-05-2025,Personal Reasons
15650,27-07-2025,Personal Reasons
14378,04-09-2025,Personal Reasons
20994,15-08-2021,Retirement
49150,17-01-2023,Better Opportunity
22685,15-07-2024,Better Opportunity
25714,11-12-2024,Unknown
46319,05-06-2019,Better Opportunity
27815,31-03-2022,Retirement
42021,03-09-2020,Personal Reasons
2465,01-09-2025,Better Opportunity
32932,18-06-2022,Retirement
36580,28-08-2023,Better Opportunity
29045,07-04-2019,Personal Reasons
29741,29-12-2024,Unknown
19362,27-06-2025,Retirement
43317,09-09-2024,Better Opportunity
33986,14-08-2025,Retirement
9136,02-05-2024,Retirement
17204,09-09-2025,Personal Reasons
25842,15-12-2022,Relocation
2548,05-02-2025,Better Opportunity
30319,16-02-2025,Personal Reasons
17950,17-03-2017,Better Opportunity
14097,06-10-2025,Relocation
39228,12-08-2025,Unknown
11838,08-12-2024,Relocation
25732,18-04-2020,Retirement
48735,16-02-2022,Personal Reasons
34866,16-03-2025,Better Opportunity
27397,12-03-2021,Personal Reasons
2482,25-07-2024,Relocation
18751,21-02-2019,Better Opportunity
31163,14-11-2021,Better Opportunity
29827,28-11-2023,Better Opportunity
20469,17-07-2022,Better Opportunity
8027,09-05-2022,Unknown
44850,03-10-2023,Relocation
291,24-11-2018,Retirement
48648,19-01-2021,Unknown
27845,08-02-2024,Retirement
43498,26-07-2024,Retirement
45706,26-01-2019,Retirement
41720,16-07-2025,Relocation
5003,07-07-2025,Better Opportunity
48557,04-12-2024,Unknown
19977,24-01-2022,Unknown
36198,16-09-2020,Relocation
11194,03-04-2025,Personal Reasons
36441,04-07-2019,Better Opportunity
15390,10-09-2025,Relocation
34946,02-10-2025,Better Opportunity
36518,25-08-2023,Unknown
23080,24-07-2022,Relocation
39739,02-12-2019,Better Opportunity
31518,08-10-2025,Retirement
49068,01-04-2025,Retirement
44004,10-09-2024,Relocation
6946,02-12-2018,Personal Reasons
3340,30-05-2018,Personal Reasons
12676,30-06-2025,Unknown
44583,24-02-2024,Unknown
30770,12-09-2025,Relocation
27940,24-05-2025,Retirement
24754,13-10-2017,Unknown
37617,23-01-2024,Better Opportunity
41545,20-07-2018,Relocation
22084,03-02-2025,Unknown
43215,12-05-2025,Unknown
7519,03-02-2023,Retirement
8556,17-07-2025,Better Opportunity
6927,02-09-2025,Relocation
35649,20-07-2021,Relocation
17275,19-06-2023,Retirement
2528,23-08-2025,Retirement
19502,26-08-2020,Better Opportunity
40354,30-06-2021,Retirement
31412,11-12-2017,Personal Reasons
32357,30-10-2022,Personal Reasons
12540,16-12-2022,Personal Reasons
32629,04-09-2023,Personal Reasons
29718,12-07-2024,Relocation
45544,17-09-2024,Relocation
11385,16-01-2025,Relocation
10874,03-09-2020,Unknown
2858,13-01-2021,Better Opportunity
46914,02-06-2022,Relocation
958,20-04-2023,Unknown
13,28-02-2019,Unknown
7873,25-12-2024,Relocation
33042,01-11-2023,Better Opportunity
6416,03-10-2023,Personal Reasons
973,21-06-2020,Better Opportunity
3118,29-09-2024,Retirement
36361,23-02-2022,Personal Reasons
