Employee_ID,Review_Quarter,Performance_Score,Manager_Feedback,,
1,Q1,2,Poor,,
1,Q2,2,Poor,,
1,Q3,1,Poor,,
1,Q4,2,Poor,,
2,Q1,5,Excellent,,
2,Q2,1,Poor,,
2,Q3,5,Excellent,,
2,Q4,2,Poor,,0
3,Q1,1,Poor,,
3,Q2,2,Poor,,
3,Q3,3,Average,,
3,Q4,3,Average,,
4,Q1,3,Average,,
4,Q2,1,Poor,,
4,Q3,4,Good,,
4,Q4,5,Excellent,,
5,Q1,5,Excellent,,
5,Q2,1,Poor,,
5,Q3,3,Average,,
5,Q4,3,Average,,
6,Q1,3,Average,,
6,Q2,4,Good,,
6,Q3,5,Excellent,,
6,Q4,4,Good,,
7,Q1,5,Excellent,,
7,Q2,1,Poor,,
7,Q3,3,Average,,
7,Q4,3,Average,,
8,Q1,1,Poor,,
8,Q2,4,Good,,
8,Q3,2,Poor,,
8,Q4,2,Poor,,
9,Q1,5,Excellent,,
9,Q2,3,Average,,
9,Q3,2,Poor,,
9,Q4,5,Excellent,,
10,Q1,5,Excellent,,
10,Q2,5,Excellent,,
10,Q3,4,Good,,
10,Q4,2,Poor,,
11,Q1,3,Average,,
11,Q2,1,Poor,,
11,Q3,4,Good,,
11,Q4,3,Average,,
12,Q1,1,Poor,,
12,Q2,5,Excellent,,
12,Q3,3,Average,,
12,Q4,3,Average,,
13,Q1,4,Good,,
13,Q2,1,Poor,,
13,Q3,1,Poor,,
13,Q4,2,Poor,,
14,Q1,2,Poor,,
14,Q2,1,Poor,,
14,Q3,4,Good,,
14,Q4,4,Good,,
15,Q1,1,Poor,,
15,Q2,5,Excellent,,
15,Q3,3,Average,,
15,Q4,2,Poor,,
16,Q1,3,Average,,
16,Q2,4,Good,,
16,Q3,5,Excellent,,
16,Q4,4,Good,,
17,Q1,2,Poor,,
17,Q2,5,Excellent,,
17,Q3,5,Excellent,,
17,Q4,4,Good,,
18,Q1,2,Poor,,
18,Q2,2,Poor,,
18,Q3,3,Average,,
18,Q4,5,Excellent,,
19,Q1,2,Poor,,
19,Q2,5,Excellent,,
19,Q3,1,Poor,,
19,Q4,4,Good,,
20,Q1,4,Good,,
20,Q2,1,Poor,,
20,Q3,5,Excellent,,
20,Q4,2,Poor,,
21,Q1,2,Poor,,
21,Q2,4,Good,,
21,Q3,1,Poor,,
21,Q4,3,Average,,
22,Q1,5,Excellent,,
22,Q2,2,Poor,,
22,Q3,5,Excellent,,
22,Q4,1,Poor,,
23,Q1,1,Poor,,
23,Q2,1,Poor,,
23,Q3,4,Good,,
23,Q4,2,Poor,,
24,Q1,1,Poor,,
24,Q2,4,Good,,
24,Q3,3,Average,,
24,Q4,2,Poor,,
25,Q1,3,Average,,
25,Q2,1,Poor,,
25,Q3,1,Poor,,
25,Q4,5,Excellent,,
26,Q1,1,Poor,,
26,Q2,4,Good,,
26,Q3,5,Excellent,,
26,Q4,3,Average,,
27,Q1,3,Average,,
27,Q2,4,Good,,
27,Q3,4,Good,,
27,Q4,4,Good,,
28,Q1,1,Poor,,
28,Q2,3,Average,,
28,Q3,3,Average,,
28,Q4,3,Average,,
29,Q1,4,Good,,
29,Q2,1,Poor,,
29,Q3,1,Poor,,
29,Q4,5,Excellent,,
30,Q1,1,Poor,,
30,Q2,4,Good,,
30,Q3,1,Poor,,
30,Q4,3,Average,,
31,Q1,4,Good,,
31,Q2,4,Good,,
31,Q3,2,Poor,,
31,Q4,1,Poor,,
32,Q1,2,Poor,,
32,Q2,2,Poor,,
32,Q3,4,Good,,
32,Q4,1,Poor,,
33,Q1,5,Excellent,,
33,Q2,2,Poor,,
33,Q3,1,Poor,,
33,Q4,2,Poor,,
34,Q1,1,Poor,,
34,Q2,2,Poor,,
34,Q3,3,Average,,
34,Q4,4,Good,,
35,Q1,1,Poor,,
35,Q2,2,Poor,,
35,Q3,1,Poor,,
35,Q4,3,Average,,
36,Q1,2,Poor,,
36,Q2,1,Poor,,
36,Q3,3,Average,,
36,Q4,5,Excellent,,
37,Q1,5,Excellent,,
37,Q2,2,Poor,,
37,Q3,2,Poor,,
37,Q4,2,Poor,,
38,Q1,2,Poor,,
38,Q2,4,Good,,
38,Q3,3,Average,,
38,Q4,1,Poor,,
39,Q1,4,Good,,
39,Q2,2,Poor,,
39,Q3,2,Poor,,
39,Q4,3,Average,,
40,Q1,2,Poor,,
40,Q2,2,Poor,,
40,Q3,4,Good,,
40,Q4,5,Excellent,,
41,Q1,2,Poor,,
41,Q2,3,Average,,
41,Q3,3,Average,,
41,Q4,1,Poor,,
42,Q1,5,Excellent,,
42,Q2,1,Poor,,
42,Q3,5,Excellent,,
42,Q4,4,Good,,
43,Q1,2,Poor,,
43,Q2,4,Good,,
43,Q3,5,Excellent,,
43,Q4,5,Excellent,,
44,Q1,1,Poor,,
44,Q2,3,Average,,
44,Q3,4,Good,,
44,Q4,2,Poor,,
45,Q1,4,Good,,
45,Q2,5,Excellent,,
45,Q3,2,Poor,,
45,Q4,4,Good,,
46,Q1,2,Poor,,
46,Q2,4,Good,,
46,Q3,1,Poor,,
46,Q4,1,Poor,,
47,Q1,4,Good,,
47,Q2,5,Excellent,,
47,Q3,3,Average,,
47,Q4,2,Poor,,
48,Q1,2,Poor,,
48,Q2,2,Poor,,
48,Q3,2,Poor,,
48,Q4,1,Poor,,
49,Q1,3,Average,,
49,Q2,4,Good,,
49,Q3,1,Poor,,
49,Q4,3,Average,,
50,Q1,2,Poor,,
50,Q2,5,Excellent,,
50,Q3,1,Poor,,
50,Q4,3,Average,,
51,Q1,1,Poor,,
51,Q2,4,Good,,
51,Q3,4,Good,,
51,Q4,5,Excellent,,
52,Q1,3,Average,,
52,Q2,5,Excellent,,
52,Q3,4,Good,,
52,Q4,5,Excellent,,
53,Q1,2,Poor,,
53,Q2,1,Poor,,
53,Q3,3,Average,,
53,Q4,1,Poor,,
54,Q1,5,Excellent,,
54,Q2,5,Excellent,,
54,Q3,5,Excellent,,
54,Q4,3,Average,,
55,Q1,2,Poor,,
55,Q2,4,Good,,
55,Q3,4,Good,,
55,Q4,3,Average,,
56,Q1,3,Average,,
56,Q2,4,Good,,
56,Q3,4,Good,,
56,Q4,2,Poor,,
57,Q1,2,Poor,,
57,Q2,4,Good,,
57,Q3,5,Excellent,,
57,Q4,1,Poor,,
58,Q1,4,Good,,
58,Q2,2,Poor,,
58,Q3,3,Average,,
58,Q4,3,Average,,
59,Q1,1,Poor,,
59,Q2,1,Poor,,
59,Q3,4,Good,,
59,Q4,5,Excellent,,
60,Q1,4,Good,,
60,Q2,2,Poor,,
60,Q3,3,Average,,
60,Q4,2,Poor,,
61,Q1,1,Poor,,
61,Q2,2,Poor,,
61,Q3,5,Excellent,,
61,Q4,3,Average,,
62,Q1,4,Good,,
62,Q2,3,Average,,
62,Q3,1,Poor,,
62,Q4,4,Good,,
63,Q1,1,Poor,,
63,Q2,3,Average,,
63,Q3,1,Poor,,
63,Q4,4,Good,,
64,Q1,4,Good,,
64,Q2,4,Good,,
64,Q3,2,Poor,,
64,Q4,2,Poor,,
65,Q1,4,Good,,
65,Q2,2,Poor,,
65,Q3,2,Poor,,
65,Q4,1,Poor,,
66,Q1,3,Average,,
66,Q2,3,Average,,
66,Q3,3,Average,,
66,Q4,1,Poor,,
67,Q1,5,Excellent,,
67,Q2,2,Poor,,
67,Q3,4,Good,,
67,Q4,1,Poor,,
68,Q1,4,Good,,
68,Q2,3,Average,,
68,Q3,2,Poor,,
68,Q4,2,Poor,,
69,Q1,2,Poor,,
69,Q2,2,Poor,,
69,Q3,2,Poor,,
69,Q4,5,Excellent,,
70,Q1,5,Excellent,,
70,Q2,3,Average,,
70,Q3,1,Poor,,
70,Q4,3,Average,,
71,Q1,5,Excellent,,
71,Q2,1,Poor,,
71,Q3,3,Average,,
71,Q4,5,Excellent,,
72,Q1,2,Poor,,
72,Q2,5,Excellent,,
72,Q3,5,Excellent,,
72,Q4,4,Good,,
73,Q1,4,Good,,
73,Q2,4,Good,,
73,Q3,5,Excellent,,
73,Q4,2,Poor,,
74,Q1,4,Good,,
74,Q2,2,Poor,,
74,Q3,5,Excellent,,
74,Q4,1,Poor,,
75,Q1,4,Good,,
75,Q2,1,Poor,,
75,Q3,1,Poor,,
75,Q4,5,Excellent,,
76,Q1,3,Average,,
76,Q2,1,Poor,,
76,Q3,1,Poor,,
76,Q4,4,Good,,
77,Q1,2,Poor,,
77,Q2,5,Excellent,,
77,Q3,5,Excellent,,
77,Q4,2,Poor,,
78,Q1,4,Good,,
78,Q2,4,Good,,
78,Q3,4,Good,,
78,Q4,2,Poor,,
79,Q1,3,Average,,
79,Q2,1,Poor,,
79,Q3,3,Average,,
79,Q4,4,Good,,
80,Q1,2,Poor,,
80,Q2,1,Poor,,
80,Q3,4,Good,,
80,Q4,2,Poor,,
81,Q1,3,Average,,
81,Q2,3,Average,,
81,Q3,5,Excellent,,
81,Q4,1,Poor,,
82,Q1,1,Poor,,
82,Q2,5,Excellent,,
82,Q3,1,Poor,,
82,Q4,1,Poor,,
83,Q1,4,Good,,
83,Q2,3,Average,,
83,Q3,4,Good,,
83,Q4,1,Poor,,
84,Q1,3,Average,,
84,Q2,5,Excellent,,
84,Q3,2,Poor,,
84,Q4,3,Average,,
85,Q1,2,Poor,,
85,Q2,1,Poor,,
85,Q3,1,Poor,,
85,Q4,2,Poor,,
86,Q1,2,Poor,,
86,Q2,4,Good,,
86,Q3,2,Poor,,
86,Q4,1,Poor,,
87,Q1,2,Poor,,
87,Q2,5,Excellent,,
87,Q3,5,Excellent,,
87,Q4,1,Poor,,
88,Q1,2,Poor,,
88,Q2,2,Poor,,
88,Q3,1,Poor,,
88,Q4,4,Good,,
89,Q1,5,Excellent,,
89,Q2,1,Poor,,
89,Q3,1,Poor,,
89,Q4,1,Poor,,
90,Q1,2,Poor,,
90,Q2,1,Poor,,
90,Q3,3,Average,,
90,Q4,2,Poor,,
91,Q1,1,Poor,,
91,Q2,4,Good,,
91,Q3,2,Poor,,
91,Q4,2,Poor,,
92,Q1,1,Poor,,
92,Q2,2,Poor,,
92,Q3,3,Average,,
92,Q4,5,Excellent,,
93,Q1,5,Excellent,,
93,Q2,4,Good,,
93,Q3,2,Poor,,
93,Q4,4,Good,,
94,Q1,4,Good,,
94,Q2,2,Poor,,
94,Q3,4,Good,,
94,Q4,1,Poor,,
95,Q1,3,Average,,
95,Q2,1,Poor,,
95,Q3,1,Poor,,
95,Q4,5,Excellent,,
96,Q1,1,Poor,,
96,Q2,3,Average,,
96,Q3,5,Excellent,,
96,Q4,1,Poor,,
97,Q1,2,Poor,,
97,Q2,4,Good,,
97,Q3,1,Poor,,
97,Q4,5,Excellent,,
98,Q1,3,Average,,
98,Q2,3,Average,,
98,Q3,2,Poor,,
98,Q4,1,Poor,,
99,Q1,1,Poor,,
99,Q2,3,Average,,
99,Q3,4,Good,,
99,Q4,3,Average,,
100,Q1,4,Good,,
100,Q2,3,Average,,
100,Q3,4,Good,,
100,Q4,5,Excellent,,
101,Q1,4,Good,,
101,Q2,4,Good,,
101,Q3,3,Average,,
101,Q4,4,Good,,
102,Q1,3,Average,,
102,Q2,3,Average,,
102,Q3,3,Average,,
102,Q4,2,Poor,,
103,Q1,1,Poor,,
103,Q2,4,Good,,
103,Q3,2,Poor,,
103,Q4,3,Average,,
104,Q1,1,Poor,,
104,Q2,5,Excellent,,
104,Q3,5,Excellent,,
104,Q4,4,Good,,
105,Q1,3,Average,,
105,Q2,1,Poor,,
105,Q3,5,Excellent,,
105,Q4,4,Good,,
106,Q1,5,Excellent,,
106,Q2,4,Good,,
106,Q3,4,Good,,
106,Q4,4,Good,,
107,Q1,1,Poor,,
107,Q2,2,Poor,,
107,Q3,4,Good,,
107,Q4,1,Poor,,
108,Q1,4,Good,,
108,Q2,2,Poor,,
108,Q3,1,Poor,,
108,Q4,3,Average,,
109,Q1,5,Excellent,,
109,Q2,2,Poor,,
109,Q3,5,Excellent,,
109,Q4,1,Poor,,
110,Q1,1,Poor,,
110,Q2,5,Excellent,,
110,Q3,2,Poor,,
110,Q4,3,Average,,
111,Q1,1,Poor,,
111,Q2,1,Poor,,
111,Q3,4,Good,,
111,Q4,1,Poor,,
112,Q1,3,Average,,
112,Q2,2,Poor,,
112,Q3,1,Poor,,
112,Q4,3,Average,,
113,Q1,4,Good,,
113,Q2,2,Poor,,
113,Q3,5,Excellent,,
