Candidate_ID,Job_Role,Source,Application_Date,Hiring_Status,Joining_Date
1,Analyst,Walk-in,05-11-2024,Rejected,
2,Executive,LinkedIn,13-04-2024,Rejected,
3,Executive,LinkedIn,02-10-2024,Unknown,
4,Analyst,Walk-in,01-08-2024,Hired,Pending
5,Analyst,Referral,22-04-2024,Rejected,
6,Intern,Walk-in,20-09-2023,Unknown,
7,Executive,LinkedIn,16-04-2025,Rejected,
8,Executive,LinkedIn,22-05-2025,Rejected,
9,Intern,LinkedIn,18-12-2024,Unknown,
10,Intern,Walk-in,19-06-2024,Hired,02-09-2023
11,Manager,Walk-in,21-07-2024,Rejected,
12,Intern,LinkedIn,06-07-2025,Hired,14-05-2023
13,Associate,LinkedIn,04-04-2024,Hired,28-12-2023
14,Analyst,LinkedIn,19-09-2024,Unknown,
15,Intern,Referral,08-12-2023,Hired,08-11-2022
16,Associate,LinkedIn,20-04-2025,Rejected,
17,Associate,LinkedIn,29-06-2025,Hired,Pending
18,Intern,LinkedIn,06-04-2023,Hired,Pending
19,Manager,Job Portal,14-03-2023,Hired,Pending
20,Executive,Referral,01-07-2023,Hired,Pending
21,Analyst,Referral,09-09-2025,Unknown,
22,Associate,LinkedIn,21-04-2023,Unknown,
23,Analyst,LinkedIn,23-11-2022,Rejected,
24,Manager,Walk-in,04-04-2025,Hired,Pending
25,Intern,Walk-in,02-01-2024,Unknown,
26,Analyst,Referral,28-07-2023,Hired,Pending
27,Executive,Job Portal,23-03-2023,Hired,Pending
28,Analyst,Walk-in,05-07-2023,Rejected,
29,Manager,Walk-in,09-10-2024,Unknown,
30,Executive,LinkedIn,20-02-2023,Rejected,
31,Executive,Walk-in,11-02-2025,Hired,13-07-2024
32,Executive,Job Portal,12-12-2024,Rejected,
33,Analyst,Walk-in,16-12-2022,Hired,14-09-2024
34,Analyst,LinkedIn,01-04-2025,Unknown,
35,Analyst,LinkedIn,13-03-2023,Rejected,
36,Associate,LinkedIn,18-11-2022,Hired,18-12-2022
37,Intern,LinkedIn,25-07-2023,Rejected,
38,Executive,Walk-in,12-12-2022,Rejected,
39,Analyst,Job Portal,26-10-2023,Unknown,
40,Intern,LinkedIn,26-07-2025,Unknown,
41,Associate,Referral,22-05-2025,Hired,Pending
42,Analyst,Referral,07-11-2023,Rejected,
43,Associate,Walk-in,05-07-2025,Hired,20-06-2025
44,Analyst,LinkedIn,23-07-2023,Unknown,
45,Associate,Referral,25-07-2023,Unknown,
46,Associate,LinkedIn,15-06-2023,Hired,Pending
47,Associate,LinkedIn,02-06-2023,Hired,25-04-2023
48,Intern,LinkedIn,19-07-2025,Unknown,
49,Analyst,Referral,09-08-2023,Rejected,
50,Manager,Walk-in,22-06-2023,Rejected,
51,Associate,Job Portal,20-08-2024,Hired,Pending
52,Executive,Job Portal,29-05-2023,Rejected,
53,Intern,Job Portal,27-03-2025,Rejected,
54,Manager,LinkedIn,09-06-2024,Rejected,
55,Analyst,Job Portal,07-10-2024,Rejected,
